logged_at,track,tag,period,signal,book,exec_lag,cost_bps,borrow,ic_t,net_sharpe,daily_sr
2026-09-24T11:48:30,B,v1c_test,test,voltarget_ew|chronos,voltarget_ew,1,5,0.05,-1.7042033623809434,-0.10735472096047773,-0.03182199462697355
2026-09-24T11:48:31,B,v1c_test,test,voltarget_mom|chronos,voltarget_mom,1,5,0.05,0.23817594877440243,0.01500367449366495,-0.08455538967180723
2026-09-24T12:16:47,A,I0_2x2,ext_dev,uni|MED_SIG,LS,1,5,0.05,6.369977540252062,1.1705897040649624,0.07374022010115679
2026-09-24T12:16:47,B,I0_2x2,ext_dev,uni|SIG,vol_forecast,0,,,,
2026-09-24T12:16:49,A,I0_2x2,ext_dev,xl|MED_SIG,LS,1,5,0.05,5.4692709362832135,1.0051334214615724,0.06331745399111412
2026-09-24T12:16:49,B,I0_2x2,ext_dev,xl|SIG,vol_forecast,0,,,,
2026-09-24T12:16:51,A,I0_2x2,ext_dev,cov|MED_SIG,LS,1,5,0.05,6.386332866998111,1.26273140760841,0.07954460183815205
2026-09-24T12:16:51,B,I0_2x2,ext_dev,cov|SIG,vol_forecast,0,,,,
2026-09-24T12:16:52,A,I0_2x2,ext_dev,xl_cov|MED_SIG,LS,1,5,0.05,6.203150956968966,1.466773679296446,0.09239805678651442
2026-09-24T12:16:52,B,I0_2x2,ext_dev,xl_cov|SIG,vol_forecast,0,,,,
2026-09-24T12:24:22,A,S3ref_uni,ext_dev,chronos,LS_5d,1,5,0.05,6.369977540252062,1.1705897040649624,0.07374022010115679
2026-09-24T12:24:24,A,S3mimic_uni,ext_dev,mimic,LS_5d,1,5,0.05,5.623522665218234,1.9914818061496842,0.12545156189480489
2026-09-24T12:24:26,A,S3mimic_uni,ext_dev,chronos_minus_mimic,LS_5d,1,5,0.05,1.7743732733928972,-1.2247494618202412,-0.07715196415087035
2026-09-24T12:24:29,A,S3combo_uni,ext_dev,combo_classic,LS_5d,1,5,0.05,4.158493617658211,1.313924956857854,0.0827694923154084
2026-09-24T12:24:30,A,S3combo_uni,ext_dev,combo_plus_chronos,LS_5d,1,5,0.05,3.9105051884845663,1.136051870677341,0.07156454110195132
2026-09-24T12:24:31,A,S3turn_uni,ext_dev,chronos_smooth_hl5,LS_5d,1,5,0.05,6.071861092964243,1.1999418023786725,0.07558922849629954
2026-09-24T12:24:33,A,S3turn_uni,ext_dev,chronos_smooth_hl10,LS_5d,1,5,0.05,5.79181370264218,1.09293000882377,0.06884811913684104
2026-09-24T12:24:34,A,S3turn_uni,ext_dev,chronos_smooth_hl21,LS_5d,1,5,0.05,5.429011390477607,0.8922330553992243,0.05620539943089674
2026-09-24T12:24:36,A,S3turn_uni,ext_dev,chronos_monthly,LS_21d,1,5,0.05,5.5229623546453395,1.230484780470281,0.07751325526605407
2026-09-24T12:24:38,A,S3turn_uni,ext_dev,chronos_smooth_hl10_monthly,LS_21d,1,5,0.05,4.4891841368159335,0.9018795172767388,0.056813069410886465
2026-09-24T12:24:39,A,S3turn_uni,ext_dev,combo_plus_chronos_hl10,LS_5d,1,5,0.05,3.560368926333355,0.7052500629695695,0.04442657806500294
2026-09-24T12:24:40,A,S3turn_uni,ext_dev,combo_classic_hl10,LS_5d,1,5,0.05,3.3849276413003335,0.7862056280438912,0.0495262993134163
2026-09-24T12:24:42,B,S3volcal_uni,ext_dev,chronos_sig_calibrated,vol_forecast,0,,,,
2026-09-24T12:42:53,B,S3rv,ext_dev,chronos_rv_uni,vol_forecast,0,,,,
2026-09-24T12:42:53,B,S3rv,ext_dev,chronos_rv_xl,vol_forecast,0,,,,
